Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5218;NIMBUS, OBLAK 5 : radna bilježnica iz informatike s e-podrškom za peti razred osnovne škole;Silvana Svetličić, Lidija Kralj, Nenad Hajdinjak, Darko Rakić, Bojan Floriani;radna bilježnica;41,00;PROFIL;Novo;5. razred osnovne škole
Osnovna škola - redovni program - 6. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5256;MATEMATIKA 6 : udžbenik i zbirka zadataka iz matematike za šesti razred osnovne škole, 2. polugodište;Vesna Draženović-Žitko, Luka Krnić, Maja Marić, Zvonimir Šikić;udžbenik sa zbirkom zadataka;62,00;PROFIL;Novo;6. razred osnovne škole
5255;MATEMATIKA 6 : udžbenik i zbirka zadataka iz matematike za šesti razred osnovne škole, 1. polugodište;Vesna Draženović-Žitko, Luka Krnić, Maja Marić, Zvonimir Šikić;udžbenik sa zbirkom zadataka;63,00;PROFIL;Novo;6. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
4543;SVIJET GLAZBE 6 : udžbenik za glazbenu kulturu u šestom razredu osnovne škole (s CD-om);Ante Gašpardi, Tonka Lazarić, Nevenka Raguž, Zoran Štefanac;udžbenik;69,00;ALFA;Novo;6. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4866;POZVANI NA SLOBODU : radna bilježnica za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;radna bilježnica;32,00;KS;Novo;6. razred osnovne škole
4865;POZVANI NA SLOBODU : udžbenik za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;6. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
5198;ZELENA ČITANKA : čitanka za šesti razred osnovne škole;Julijana Levak, Iva Močibob, Jasmina Sandalić, Irena Skopljak Barić;udžbenik;75,00;PROFIL;Novo;6. razred osnovne škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5204;RIJEČI HRVATSKE 6 : radna bilježnica iz hrvatskoga jezika za šesti razred osnovne škole;Ela Družijanić Hajdarević, Zorica Lugarić, Zrinka Romić, Lidija Sykora Nagy;radna bilježnica;47,00;PROFIL;Novo;6. razred osnovne škole
5203;RIJEČI HRVATSKE 6 : udžbenik hrvatskoga jezika za šesti razred osnovne škole;Ela Družijanić Hajdarević, Zorica Lugarić, Zrinka Romić, Lidija Sykora Nagy;udžbenik;57,00;PROFIL;Novo;6. razred osnovne škole
PRIRODA ;;;;;;;
5737;PRIRODA 6 : udžbenik prirode s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Damir Bendelja, Ines Budić, Edina Operta, Nataša Pongrac, Renata Roščak, Helena Valečić;udžbenik s višemedijskim nastavnim materijalima;63,00;ŠK;Novo;6. razred osnovne škole
