Tip ustanove:;Osnovna škola;;;;;;
Županija:;Sisačko-Moslavačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Dvor;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5158;GEOGRAFIJA 6 : radna bilježnica iz geografije za šesti razred osnovne škole;Slaven Imre, Vesna Janko, Renata Kanceljak, Ivana Paradi;radna bilježnica;42,00;PROFIL;Novo;6. razred osnovne škole
POVIJEST ;;;;;;;
5278;VREMEPLOV 6 : udžbenik povijesti za šesti razred osnovne škole;Šime Labor, Manuela Kunundžić, Tin Pongrac, Jelena Šilje Capor, Snježana Vinarić;udžbenik;59,00;PROFIL;Novo;6. razred osnovne škole
5279;VREMEPLOV 6 : radna bilježnica iz povijesti za šesti razred osnovne škole;Šime Labor, Manuela Kunundžić, Tin Pongrac, Jelena Šilje Capor, Snježana Vinarić;radna bilježnica;40,00;PROFIL;Novo;6. razred osnovne škole
LIKOVNA KULTURA ;;;;;;;
5679;MOJE BOJE 6 : udžbenik likovne kulture s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Miroslav Huzjak, Ivana Rupić;udžbenik s višemedijskim nastavnim materijalima;35,00;ŠK;Novo;6. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
5303;TEHNIČKA KULTURA 6 : udžbenik tehničke kulture za šesti razred osnovne škole;Marijan Vinković, Dragutin Labaš, Stjepan Androlić, Željko Medved;udžbenik;35,00;PROFIL;Novo;6. razred osnovne škole
5304;TEHNIČKA KULTURA 6 : radni materijal za izvođenje vježbi i praktičnog rada iz tehničke kulture za šesti razred osnovne škole;Leon Zakanji, Saša Egić, Dragutin Labaš, Stjepan Androlić, Željko Medved, Tamara Valčić, Dragan Vlajinić;radni materijal;98,00;PROFIL;Novo;6. razred osnovne škole
INFORMATIKA - IZBORNI PREDMET ;;;;;;;
4578;LIKE IT 6 : radna bilježnica informatike za 6. razred osnovne škole;Blaženka Šantalab, Karmen Toić Dlačić, Dragica Rade, Vinko Pilipović, Domagoj Bujadinović;radna bilježnica;38,00;ALFA;Novo;6. razred osnovne škole
4577;LIKE IT 6 : udžbenik informatike za 6. razred osnovne škole s CD-om;Blaženka Šantalab, Karmen Toić Dlačić, Dragica Rade, Vinko Pilipović, Domagoj Bujadinović;udžbenik;57,00;ALFA;Novo;6. razred osnovne škole
