240;OSNOVNA ŠKOLA TRNOVITICA;BJELOVARSKO-BILOGORSKA
241;OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA;PRIMORSKO-GORANSKA
242;OSNOVNA ŠKOLA ZVONKA CARA;PRIMORSKO-GORANSKA
243;OSNOVNA ŠKOLA PETAR ZRINSKI ČABAR;PRIMORSKO-GORANSKA
244;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;PRIMORSKO-GORANSKA
245;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;PRIMORSKO-GORANSKA
246;OSNOVNA ŠKOLA FRAN KRSTO FRANKOPAN KRK;PRIMORSKO-GORANSKA
247;OSNOVNA ŠKOLA FRANE PETRIĆA;PRIMORSKO-GORANSKA
248;OSNOVNA ŠKOLA RIKARD KATALINIĆ JERETOV;PRIMORSKO-GORANSKA
249;OSNOVNA ŠKOLA IVANA RABLJANINA RAB;PRIMORSKO-GORANSKA
250;OSNOVNA ŠKOLA - SCUOLA ELEMENTARE BELVEDERE;PRIMORSKO-GORANSKA
251;OSNOVNA ŠKOLA BRAJDA;PRIMORSKO-GORANSKA
252;OSNOVNA ŠKOLA CENTAR;PRIMORSKO-GORANSKA
253;OSNOVNA ŠKOLA ZAMET;PRIMORSKO-GORANSKA
254;OSNOVNA ŠKOLA - SCUOLA ELEMENTARE DOLAC;PRIMORSKO-GORANSKA
255;OSNOVNA ŠKOLA - SCUOLA ELEMENTARE GELSI;PRIMORSKO-GORANSKA
256;OSNOVNA ŠKOLA - SCUOLA ELEMENTARE ˝SAN NICOLO˝;PRIMORSKO-GORANSKA
257;OSNOVNA ŠKOLA VLADIMIR GORTAN;PRIMORSKO-GORANSKA
258;OSNOVNA ŠKOLA ˝KANTRIDA˝;PRIMORSKO-GORANSKA
259;OSNOVNA ŠKOLA KOZALA;PRIMORSKO-GORANSKA
260;OSNOVNA ŠKOLA EUGEN KUMIČIĆ;PRIMORSKO-GORANSKA
261;OSNOVNA ŠKOLA PEĆINE;PRIMORSKO-GORANSKA
262;OSNOVNA ŠKOLA PODMURVICE;PRIMORSKO-GORANSKA
263;OSNOVNA ŠKOLA NIKOLA TESLA;PRIMORSKO-GORANSKA
264;OSNOVNA ŠKOLA ŠKURINJE RIJEKA;PRIMORSKO-GORANSKA
265;OSNOVNA ŠKOLA TRSAT;PRIMORSKO-GORANSKA
266;OSNOVNA ŠKOLA TURNIĆ;PRIMORSKO-GORANSKA
267;OSNOVNA ŠKOLA VEŽICA;PRIMORSKO-GORANSKA
268;OSNOVNA ŠKOLA GORNJA VEŽICA;PRIMORSKO-GORANSKA
269;OSNOVNA ŠKOLA IVANA ZAJCA;PRIMORSKO-GORANSKA
270;OSNOVNA ŠKOLA SRDOČI;PRIMORSKO-GORANSKA
271;OSNOVNA ŠKOLA FRAN FRANKOVIĆ;PRIMORSKO-GORANSKA
272;OSNOVNA ŠKOLA PEHLIN;PRIMORSKO-GORANSKA
273;GLAZBENA ŠKOLA IVANA MATETIĆA RONJGOVA RIJEKA;PRIMORSKO-GORANSKA
274;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA VRBOVSKO;PRIMORSKO-GORANSKA
275;OSNOVNA ŠKOLA KOSTRENA;PRIMORSKO-GORANSKA
276;OSNOVNA ŠKOLA BAKAR;PRIMORSKO-GORANSKA
277;OSNOVNA ŠKOLA HRELJIN;PRIMORSKO-GORANSKA
278;OSNOVNA ŠKOLA ČAVLE;PRIMORSKO-GORANSKA
279;OSNOVNA ŠKOLA RUDOLFA STROHALA;PRIMORSKO-GORANSKA
280;OSNOVNA ŠKOLA JELENJE - DRAŽICE;PRIMORSKO-GORANSKA
281;OSNOVNA ŠKOLA ˝MILAN BROZOVIĆ˝;PRIMORSKO-GORANSKA
282;OSNOVNA ŠKOLA KLANA;PRIMORSKO-GORANSKA
283;OSNOVNA ŠKOLA SVETI MATEJ;PRIMORSKO-GORANSKA
284;OSNOVNA ŠKOLA KRALJEVICA;PRIMORSKO-GORANSKA
285;OSNOVNA ŠKOLA IVANKE TROHAR;PRIMORSKO-GORANSKA
286;OSNOVNA ŠKOLA VIKTORA CARA EMINA;PRIMORSKO-GORANSKA
287;OSNOVNA ŠKOLA MARIA MARTINOLIĆA;PRIMORSKO-GORANSKA
288;OSNOVNA ŠKOLA DR. ANDRIJA MOHOROVIČIĆ;PRIMORSKO-GORANSKA
289;OSNOVNA ŠKOLA DRAGO GERVAIS;PRIMORSKO-GORANSKA
290;OSNOVNA ŠKOLA IVANA MAŽURANIĆA;PRIMORSKO-GORANSKA
291;OSNOVNA ŠKOLA DR. JOSIPA PANČIĆA BRIBIR;PRIMORSKO-GORANSKA
292;OSNOVNA ŠKOLA JURJA KLOVIĆA TRIBALJ;PRIMORSKO-GORANSKA
293;OSNOVNA ŠKOLA SKRAD;PRIMORSKO-GORANSKA
294;OSNOVNA ŠKOLA DR. BRANIMIRA MARKOVIĆA;PRIMORSKO-GORANSKA
295;OSNOVNA ŠKOLA MRKOPALJ;PRIMORSKO-GORANSKA
296;OSNOVNA ŠKOLA BROD MORAVICE;PRIMORSKO-GORANSKA
297;OSNOVNA ŠKOLA DONJI LAPAC;LIČKO-SENJSKA
298;OSNOVNA ŠKOLA DR. JURE TURIĆA;LIČKO-SENJSKA
299;OSNOVNA ŠKOLA DR. FRANJE TUĐMANA LIČKI OSIK;LIČKO-SENJSKA
300;OSNOVNA ŠKOLA DR. ANTE STARČEVIĆ PAZARIŠTE-KLANAC;LIČKO-SENJSKA
301;OSNOVNA ŠKOLA ZRINSKIH I FRANKOPANA;LIČKO-SENJSKA
302;OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA SENJ;LIČKO-SENJSKA
303;OSNOVNA ŠKOLA LUKE PERKOVIĆA BRINJE;LIČKO-SENJSKA
304;OSNOVNA ŠKOLA KARLOBAG;LIČKO-SENJSKA
305;OSNOVNA ŠKOLA PERUŠIĆ;LIČKO-SENJSKA
306;OSNOVNA ŠKOLA ANŽ FRANKOPAN KOSINJ;LIČKO-SENJSKA
307;OSNOVNA ŠKOLA A. G. MATOŠA NOVALJA;LIČKO-SENJSKA
308;OSNOVNA ŠKOLA LOVINAC;LIČKO-SENJSKA
309;OSNOVNA ŠKOLA KRALJA TOMISLAVA;LIČKO-SENJSKA
310;OSNOVNA ŠKOLA PLITVIČKA JEZERA;LIČKO-SENJSKA
311;OSNOVNA ŠKOLA DR. FRANJE TUĐMANA;LIČKO-SENJSKA
