Tip ustanove:;Srednja škola;;;;;;
Županija:;Istarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
2131;HRVATSKI JEZIK 2 : radna bilježnica za 2. razred četverogodišnjih strukovnih škola;Marina Čubrić;radna bilježnica;39,00;ŠK;;2. razred srednje škole
2132;HRVATSKI JEZIK 2 : udžbenik za 2. razred četverogodišnjih strukovnih škola;Marina Čubrić;udžbenik;76,00;ŠK;;2. razred srednje škole
MATEMATIKA - ZA ČETVEROGODIŠNJE PROGRAME ;;;;;;;
4743;MATEMATIKA 2 : udžbenik i zbirka zadataka za 2. razred ekonomskih škola;Branimir Dakić, Neven Elezović, Sonja Banić, Anđelko Marić;udžbenik sa zbirkom zadataka;145,00;ELEMENT;Novo;2. razred srednje škole
INFORMATIKA - RAČUNALSTVO ;;;;;;;
5331;INFORMATIKA I RAČUNALSTVO : udžbenik za gimnazije i srednje škole;Vinkoslav Galešev, Predrag Brođanac, Nikola Dmitrović, Milan Korać, Snježana Babić, Gordana Sokol, Zlatan Soldo, Dragan Kovač;udžbenik;153,00;SYSPRINT;Novo;2. razred srednje škole
POVIJEST - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1694;HRVATSKA I SVIJET 2 : udžbenik povijesti za 2. razred četverogodišnjih strukovnih škola;Zdenko Samaržija;udžbenik;97,00;ŠK;;2. razred srednje škole
EKONOMSKE ŠKOLE ;;;;;;;
5415;PODUZETNIŠTVO 2 : udžbenik u drugom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Bernik, Višnja Dorčić-Kereković, Suzana Đurđević, Željko Tintor, Marija Tolušić, Biserka Viljetić, Bosiljka Vinković Kukolić;udžbenik;99,00;ŠK;Novo;2. razred srednje škole
5424;RAČUNOVODSTVO 2 : udžbenik za 2. razred srednje škole za zanimanje ekonomist/ekonomistica;Maja Safret, Branka Marić, Ljerka Dragović-Kovač, Dubravka Hržica;udžbenik;99,00;ŠK;Novo;2. razred srednje škole
5413;OSNOVE TURIZMA : udžbenik u drugom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica - izborni predmet;Sandra Čorak, Vesna Mikačić, Željko Trezner, Ivan Kožić;udžbenik;89,00;ŠK;Novo;2. razred srednje škole
5408;OSNOVE EKONOMIJE 2 : radna bilježnica u drugom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Gordana Zoretić;radna bilježnica;59,00;ŠK;Novo;2. razred srednje škole
5425;RAČUNOVODSTVO 2 : radna billježnica za 2. razred srednje škole za zanimanje ekonomist/ekonomistica;Branka Marić, Ljerka Dragović-Kovač, Dubravka Hržica;radna bilježnica;63,00;ŠK;Novo;2. razred srednje škole
5417;POSLOVNE KOMUNIKACIJE 2 : udžbenik za 2. razred srednje škole za zanimanje ekonomist/ekonomistica;Antun Kliment, Olivera Jurković Majić;udžbenik;109,00;ŠK;Novo;2. razred srednje škole
5407;OSNOVE EKONOMIJE 2 : udžbenik u drugom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Jadranka Dorešić, Josipa Ilić, Anto Mandir, Marija Mesić Škorić, Ivan Režić, Silvija Marinčić Svetoivanec, Melita Todorović;udžbenik;79,00;ŠK;Novo;2. razred srednje škole
5382;DRUŠTVENO ODGOVORNO POSLOVANJE : udžbenik u drugom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Nikša Alfirević, Ondina Čižmek Vujnović, Jurica Pavičić, Goran Vlašić;udžbenik;99,00;ŠK;Novo;2. razred srednje škole
Hotelijersko-turistički tehničar - 2. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
